alimente_interzise,mezeluri,salam,telemea,cascaval,branza topita,margarina,smantana,banane,struguri,prune,porc,miel,unt,dulciuri,biscuiti,zahar,produse de patiserie,ciocolata,prajituri,bomboane,dulceturi,dulceata,halva,rahat,inghetata,bere,vin dulce,must,sirop,siropuri,miere,cozonac,curmale,pufuleti,floricele,,
alimente_permise,carne,slaba,rasol,carne la gratar,pasare,vaca,vitel,peste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alimente_permise,branza,branza de vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alimente_permise,grasimi,untdelemn,ulei de masline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alimente_permise,legume,varza,varza rosie,varza Bruxelles,conopida,spanac,praz,dovlecel,morcov,telina,fasole verde,fasole galbena,sparanghel,salata,rosii,rosie,vinete,vanata,laptuci,papadie,urzici,macese,ridichi,ciuperci,stevie,ardei,gogosar,castraveti,castravete,untisor,masline,andive,loboda,gulii,ceapa,usturoi verde,morcovi
alimente_permise,oua,ou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alimente_permise_cu_cantarul,cartofi,orez,gris,paste fainoase,fasole,fasole boabe,mazare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alimente_permise_cu_cantarul,fructe,mere,fragi,capsuni,zmeura,caise,visine,cirese,pere verzi,avocado,portocale,mandarine,gutui,piersici,agrise,papaya,afine,dude,mure,nectarine,kiwi,pepene galben,corcoduse,nuci,ananas,alune,pepene verde,grapfruit,pere,rodii,rodie,mango,arahide,,,,
alimente_permise_cu_cantarul,lapte,dulce,iaurt,sana,chefir,cas,urda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alimente_permise_cu_cantarul,paine,alba,graham,mamaliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
informatii_suplimentare,Testare glicemie,testare info,testare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
informatii_suplimentare,Cauzele aparitiei diabetului,cauze,aparitie,aparitie info,cauzele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
informatii_suplimentare,Ce este insulina,insulina info,insulina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
informatii_suplimentare,Ce inseamna hiperglicemie,hiperglicemie info,hiperglicemie,glicemie crescuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
informatii_suplimentare,Ce inseamna hipoglicemie,hipoglicemie info,hipoglicemie,glicemie scazuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
informatii_suplimentare,Tipuri de diabet,tipuri info,tipuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
informatii_suplimentare,Simptomele diabetului zaharat,simptome info,simptome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lista_analize,Trigliceride,trigliceride info,trigliceride,Trigliceridele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lista_analize,Hemoglobina glicata,hemoglobina info,hemoglobina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lista_analize,Colesterol total,colesterol total,colesterol,colesterol info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lista_analize,Glicemia,glicemia,glicemie,glicemie info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organ,picior,piciorul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organ,cap,capul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organ,stomac,stomacul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organ,mana,brat,bratul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organ,intestin,intestinele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organ,gat,gatul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organ,nas,nasul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organ,ochi,ochii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,usturime,ustura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,glicemie mica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,tensiune mare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,stranut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,curge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,vanataie,vanata,vineteala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,ameteala,pierderea echilibrului,ametit,ametita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,tensiune mica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,tuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,rana,lovitura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,inteapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,durere,doare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,lovitura,lovit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,puls mare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,agitatie,agitat,agitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,insomnie,lipsa somnului,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,greata,voma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,taietura,sange,taiat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simptome,glicemie mare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipuri_de_diabet,diabet de tip 2,diabetul de tip 2,diabet 2,diabet doi,diabet de tip doi,diabetul de tip doi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipuri_de_diabet,diabet de tip 1,diabetul de tip 1,diabet 1,diabet unu,diabetul de tip unu,diabet de tip unu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
