care este alimentatia corespunzatoare in diabet,alimentatie
ce alimente trebuie consumate,alimentatie
ce alimente trebuie sa consum,alimentatie
alimentatie diabet,alimentatie
analize,analize
analizele,analize
vreau sa stiu mai multe despre analize,analize
Vreau sa stiu despre analize,analize
alimente pe rand,clasificare_alimente
cate un aliment,clasificare_alimente
clasificare alimente,clasificare_alimente
clasificarea alimentelor,clasificare_alimente
introducerea alimentelor,clasificare_alimente
am terminat,exit
exit,exit
vreau sa ies,exit
terminat,exit
vreau sa se termine,exit
Hi!,greeting
Hello!,greeting
Buna ziua!,greeting
Buna!,greeting
cum se manifesta diabetul,informatii_generale
ce este diabetul,informatii_generale
insulina info,informatii_generale
doresc informatii despre diabet,informatii_generale
ce presupune diabetul,informatii_generale
vreau sa stiu ce este diabetul,informatii_generale
tipuri de persoane predispuse,informatii_pers_predispuse
persoane predispuse,informatii_pers_predispuse
varsta la care o persoana este predispusa,informatii_pers_predispuse
care sunt persoanele predispuse pentru acest tip de diabet,informatii_pers_predispuse
persoanele predispuse,informatii_pers_predispuse
ce tratament trebuie sa urmez,informatii_tratament
tratament de administrat,informatii_tratament
tratamentul de administrat,informatii_tratament
care este tratamentul ce trebuie urmat,informatii_tratament
tratament de urmat,informatii_tratament
ratamentul de urmat,informatii_tratament
as dori lista cu alimente,lista_cu_alimente
lista cu alimente,lista_cu_alimente
alimentele sub forma de lista,lista_cu_alimente
alimentele permise,lista_cu_alimente
lista,lista_cu_alimente
alimente interzise si permise,lista_cu_alimente
alimentele interzise,lista_cu_alimente
alimente permise si interzise,lista_cu_alimente
nu iau,negativ
nu urmez,negativ
normal ca nu,negativ
nu,negativ
nu am nevoie de ajutor,negativ
sigur ca nu,negativ
da,pozitiv
normal ca da,pozitiv
sigur ca da,pozitiv
sigur,pozitiv
normal,pozitiv
as mai vrea ceva,razgandire
as mai vrea sa mai stiu ceva,razgandire
m-am razgandit,razgandire
nu ma simt bine,stareDeSanatateNegativa
mizerabil,stareDeSanatateNegativa
nu imi este bine,stareDeSanatateNegativa
rau,stareDeSanatateNegativa
nu prea bine,stareDeSanatateNegativa
ma doare,stareDeSanatateNegativa
foarte bine,stareDeSanatatePozitiva
fericit,stareDeSanatatePozitiva
exceptional,stareDeSanatatePozitiva
bine,stareDeSanatatePozitiva
nu ma doare,stareDeSanatatePozitiva
care sunt valorile normale ale glicemiei,valori_glicemie
valori glicemie normala,valori_glicemie
glicemie normala,valori_glicemie
care este valoarea normala a glicemiei,valori_glicemie
